Keyword,Total Papers,Company Papers,University Papers
Augmented Reality (AR) and Virtual Reality (VR),5869,2796,3073
Autonomous Vehicles and Robotics,11306,4988,6318
Core Vision Algorithms,17319,7329,9990
Data Collection and Management,14906,6554,8352
Datasets and Benchmarks,6300,2802,3498
Ethics and Fairness in Vision,718,299,419
Generative Models and Creativity,3339,1549,1790
Human-Centric Vision,2459,1094,1365
Industrial and Manufacturing Applications,6143,2759,3384
Mathematical Foundations,13889,5762,8127
Medical Imaging and Healthcare,1461,541,920
Miscellaneous,13641,5938,7703
Natural Language Processing,8970,3932,5038
Natural Scenes and Environmental Analysis,2487,1067,1420
Scene Understanding and Reconstruction,8363,3723,4640
Security and Surveillance,1827,765,1062
Signal and Statistical Processing,3901,1545,2356
Tools and Frameworks,5446,2245,3201
Video Analysis and Action Recognition,8643,3806,4837
Vision for Social Good,1267,509,758
