Keyword,Total Papers,Company Papers,University Papers
Augmented Reality (AR) and Virtual Reality (VR),849,427,422
Autonomous Vehicles and Robotics,1340,632,708
Core Vision Algorithms,2358,1065,1293
Data Collection and Management,1758,853,905
Datasets and Benchmarks,919,450,469
Ethics and Fairness in Vision,106,40,66
Generative Models and Creativity,478,217,261
Human-Centric Vision,314,150,164
Industrial and Manufacturing Applications,933,433,500
Mathematical Foundations,1797,813,984
Medical Imaging and Healthcare,168,58,110
Miscellaneous,1789,825,964
Natural Language Processing,1140,564,576
Natural Scenes and Environmental Analysis,339,143,196
Scene Understanding and Reconstruction,1121,554,567
Security and Surveillance,262,112,150
Signal and Statistical Processing,481,202,279
Tools and Frameworks,608,252,356
Video Analysis and Action Recognition,1352,647,705
Vision for Social Good,173,86,87
